Partno,Reason - ______,Ride - ______,Compact - ______,March - ______,Cherry - ______,Sign - ______,Habit - ______,Carry - ______,Goose - _______,String - ______,Fruit - ______,Travel - ______,Dress - ______,America - ______,Crocodile - ______,Scent - ______,Crayon - ______,Wasp - ______,Three - ______,Drunk - ______,Violin - ______
56,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1
57,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0
58,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
59,1,,,,0,1,1,,1,1,1,1,1,1,1,0,,1,,1,
60,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
61,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1
62,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1
63,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
65,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
66,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
67,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0
68,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0
70,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1
71,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0
72,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
74,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
75,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0
76,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0
77,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
78,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,,,,1,,1,1,,0,1,0,1,1,1,1,1,1,0,1,0,1
80,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0
81,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1
82,,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1
83,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
84,,,,,,,,,,,,,1,,,,,,,,
85,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
86,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0
87,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
88,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
89,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
90,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
91,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
92,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
93,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0
94,,,1,1,0,,1,1,0,,1,,1,1,1,1,,1,1,0,
95,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
96,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
97,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
98,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
100,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
101,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0
102,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0
103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0
105,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
106,,,0,,,0,0,,,0,,0,0,,,,1,0,1,,
107,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1
