Partno,Reason - ______,Ride - ______,Compact - ______,March - ______,Cherry - ______,Sign - ______,Habit - ______,Carry - ______,Goose - _______,String - ______,Fruit - ______,Travel - ______,Dress - ______,America - ______,Crocodile - ______,Scent - ______,Crayon - ______,Wasp - ______,Three - ______,Drunk - ______,Violin - ______
1,0,,,,0,,0,,0,,,0,,1,1,,,0,,,
2,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,0,,,,,,,,,
4,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0
7,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1
10,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0
11,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
12,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0
13,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0
14,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
15,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1
16,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1
17,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1
18,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
19,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0
20,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0
21,,,,,,,,,,,1,,,,,,,,,,
22,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
23,0,0,1,,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1
24,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,,1,0
27,,,,,,,,,,,,,,,,,,,,,
28,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
29,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1
30,0,,0,0,0,0,,,1,1,0,0,1,1,1,,1,0,1,,0
31,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0
33,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0
34,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0
35,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1
36,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
37,0,,,0,1,0,,1,1,1,,1,1,1,0,1,,,1,0,0
38,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1
39,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
40,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
41,,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0
42,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
45,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0
46,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
47,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0
48,1,,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
49,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
50,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
51,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
52,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
53,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1
54,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1
55,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
