Partno,Crown - ______,Cushion - ______,Torch - ______,Force - ______,Jump - ______,Strap - ______,Politics - ______,Calf - ______,Rain - _______,Sack - ______,Cheese - ______,Cape - ______,Cook - ______,Asia - ______,There - ______,Brother - ______,Adolescent - _______,Harp - ______,Bath - ______,Brown - ______,Surgery - ______
1,,,,,1,0,,,,,,,0,,,,0,,,,
2,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,1,,,,1,
4,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
7,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
9,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0
10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1
13,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1
14,0,0,0,1,0,0,1,0,1,0,0,0,,1,0,1,0,0,0,1,0
15,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0
16,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1
17,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1
18,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1
19,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1
20,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
21,,,1,,,,,,,,,,,,,1,,,,,
22,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1
23,1,0,1,1,0,0,,,1,1,0,0,,1,1,1,0,1,1,0,1
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
25,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,0,1,1,,0,1,1,1,1,0,1,,1,1,1,1,1,1,1,1
27,,,,,,,,,,,,,,,,,,,,,
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
29,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0
30,1,,0,,,,1,1,0,,,,0,1,1,1,1,1,0,1,
31,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
32,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
33,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
34,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
35,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1
36,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
37,1,1,,0,,0,,,1,,1,,,1,1,1,1,,1,1,
38,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
39,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1
40,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1
41,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,
42,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
43,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
45,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
46,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
47,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
48,0,1,1,1,0,0,1,1,1,1,1,,,,1,1,1,1,1,1,1
49,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1
50,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
51,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1
