Partno,Catholic - ______,Back - ______,Baby - ______,Grab - ______,Snake - ______,Sense - ______,Money - ______,Mink - ______,Drum - ______,Hatchet - ______,Hip - ______,Doctor - _______,Wrist - ______,Tack - ______,Jesus - ______,Cherry - ______,Dust - ______,Blonde - ______,Bottle - ______,Green - ______,Idea - ______
1,,0,,,0,0,0,,,,1,1,,1,,,0,,0,,
2,,,,,,,,,,,,,,,,,,,,,
3,,,0,,,,,,0,,,,,,,,,,,,
4,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0
7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
8,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
10,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
11,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
12,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0
13,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
14,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0
15,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1
16,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0
17,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0
18,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0
19,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
20,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
21,,,,,,,,,,,,,,,,,,,,,
22,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
23,1,0,1,0,1,,1,1,0,1,0,1,1,,1,0,0,1,0,1,0
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
25,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
26,1,,0,0,1,0,0,1,1,1,1,1,1,1,1,1,,1,0,0,
27,,,,,,,,,,,,,,,,,,,,,
28,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
29,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
30,1,,0,1,1,,1,,1,,1,1,1,,1,0,,1,0,0,
31,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
32,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
33,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
34,1,,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
35,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0
36,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
37,1,1,0,0,1,1,,,0,1,1,1,1,1,1,1,1,1,1,0,1
